Keyword,Monthly Average,Total Search,Quality Indice
binance smart chain,5000,565000,113.0
smart contract,5000,212000,42.4
flow crypto,5000,15700,3.14
chia blockchain,500,6850,13.7
blockchain exchange,500,466000,932.0
axie infinity crypto,500,21900,43.8
opensea token,500,17000,34.0
python blockchain,500,8060,16.12
la blockchain,5000,133000,26.6
dao blockchain,500,8270,16.54
block crypto,500,60100,120.2
crypto avalanche,500,21400,42.8
token blockchain,500,56900,113.8
blockchain png,500,12200,24.4
blockchain ibm,500,27900,55.8
les nft,5000,34400,6.88
blockchain partner,500,6760,13.52
crypto casper,500,5550,11.1
crypto terra,500,48300,96.6
le blockchain,500,18300,36.6
site nft,5000,25700,5.14
transaction blockchain,500,1280000,2560.0
crypto sandbox,500,19600,39.2
miner blockchain,500,55500,111.0
blockchain terra,500,5610,11.22
